fechas,ripte,variacion,indice,final
1994-07,874.87,0.0,100.0,100.0
1994-08,893.0,2.07,102.07,102.07
1994-09,907.99,1.68,103.79,103.79
1994-10,910.75,0.3,104.1,104.1
1994-11,916.93,0.68,104.81,104.81
1994-12,936.83,2.17,107.08,107.08
1995-01,934.85,-0.21,106.86,107.08
1995-02,928.29,-0.7,106.11,107.08
1995-03,931.37,0.33,106.46,107.08
1995-04,909.07,-2.39,103.91,107.08
1995-05,920.51,1.26,105.22,107.08
1995-06,944.4,2.6,107.95,107.95
1995-07,914.41,-3.18,104.52,107.95
1995-08,912.86,-0.17,104.34,107.95
1995-09,914.69,0.2,104.55,107.95
1995-10,916.48,0.2,104.76,107.95
1995-11,921.41,0.54,105.32,107.95
1995-12,938.88,1.9,107.32,107.95
1996-01,938.19,-0.07,107.24,107.95
1996-02,933.47,-0.5,106.7,107.95
1996-03,932.13,-0.14,106.54,107.95
1996-04,924.13,-0.86,105.63,107.95
1996-05,929.27,0.56,106.22,107.95
1996-06,940.95,1.26,107.55,107.95
1996-07,930.16,-1.15,106.32,107.95
1996-08,936.68,0.7,107.07,107.95
1996-09,939.25,0.27,107.36,107.95
1996-10,940.12,0.09,107.46,107.95
1996-11,921.9,-1.94,105.38,107.95
1996-12,940.06,1.97,107.45,107.95
1997-01,923.49,-1.76,105.56,107.95
1997-02,923.58,0.01,105.57,107.95
1997-03,919.47,-0.45,105.1,107.95
1997-04,912.02,-0.81,104.25,107.95
1997-05,914.59,0.28,104.54,107.95
1997-06,928.71,1.54,106.15,107.95
1997-07,905.95,-2.45,103.55,107.95
1997-08,898.67,-0.8,102.72,107.95
1997-09,910.27,1.29,104.05,107.95
1997-10,913.02,0.3,104.36,107.95
1997-11,899.56,-1.47,102.82,107.95
1997-12,915.57,1.78,104.65,107.95
1998-01,912.48,-0.34,104.3,107.95
1998-02,908.13,-0.48,103.8,107.95
1998-03,910.79,0.29,104.11,107.95
1998-04,899.86,-1.2,102.86,107.95
1998-05,896.37,-0.39,102.46,107.95
1998-06,920.38,2.68,105.2,107.95
1998-07,898.35,-2.39,102.68,107.95
1998-08,888.71,-1.07,101.58,107.95
1998-09,894.03,0.6,102.19,107.95
1998-10,892.2,-0.2,101.98,107.95
1998-11,891.18,-0.11,101.86,107.95
1998-12,905.15,1.57,103.46,107.95
1999-01,890.77,-1.59,101.82,107.95
1999-02,897.38,0.74,102.57,107.95
1999-03,896.72,-0.07,102.5,107.95
1999-04,884.93,-1.31,101.15,107.95
1999-05,883.81,-0.13,101.02,107.95
1999-06,898.59,1.67,102.71,107.95
1999-07,888.23,-1.15,101.53,107.95
1999-08,883.4,-0.54,100.98,107.95
1999-09,886.14,0.31,101.29,107.95
1999-10,888.3,0.24,101.54,107.95
1999-11,887.21,-0.12,101.41,107.95
1999-12,892.14,0.56,101.97,107.95
2000-01,888.29,-0.43,101.53,107.95
2000-02,893.47,0.58,102.13,107.95
2000-03,889.13,-0.49,101.63,107.95
2000-04,871.69,-1.96,99.64,107.95
2000-05,878.6,0.79,100.43,107.95
2000-06,903.02,2.78,103.22,107.95
2000-07,882.35,-2.29,100.85,107.95
2000-08,881.81,-0.06,100.79,107.95
2000-09,883.15,0.15,100.95,107.95
2000-10,879.95,-0.36,100.58,107.95
2000-11,877.91,-0.23,100.35,107.95
2000-12,884.83,0.79,101.14,107.95
2001-01,887.75,0.33,101.47,107.95
2001-02,892.27,0.51,101.99,107.95
2001-03,892.12,-0.02,101.97,107.95
2001-04,884.92,-0.81,101.15,107.95
2001-05,882.57,-0.27,100.88,107.95
2001-06,889.09,0.74,101.63,107.95
2001-07,881.29,-0.88,100.73,107.95
2001-08,879.63,-0.19,100.54,107.95
2001-09,876.4,-0.37,100.17,107.95
2001-10,880.26,0.44,100.62,107.95
2001-11,875.83,-0.5,100.11,107.95
2001-12,870.52,-0.61,99.5,107.95
2002-01,875.77,0.6,100.1,107.95
2002-02,887.02,1.28,101.39,107.95
2002-03,882.39,-0.52,100.86,107.95
2002-04,882.13,-0.03,100.83,107.95
2002-05,882.12,-0.0,100.83,107.95
2002-06,874.52,-0.86,99.96,107.95
2002-07,906.76,3.69,103.65,107.95
2002-08,885.3,-2.37,101.19,107.95
2002-09,891.87,0.74,101.94,107.95
2002-10,900.78,1.0,102.96,107.95
2002-11,894.65,-0.68,102.26,107.95
2002-12,900.69,0.68,102.95,107.95
2003-01,882.03,-2.07,100.82,107.95
2003-02,890.6,0.97,101.8,107.95
2003-03,892.09,0.17,101.97,107.95
2003-04,889.92,-0.24,101.72,107.95
2003-05,887.23,-0.3,101.41,107.95
2003-06,903.82,1.87,103.31,107.95
2003-07,918.96,1.68,105.04,107.95
2003-08,941.34,2.44,107.6,107.95
2003-09,971.97,3.25,111.1,111.1
2003-10,1008.52,3.76,115.28,115.28
2003-11,1020.36,1.17,116.63,116.63
2003-12,1040.73,2.0,118.96,118.96
2004-01,1065.01,2.33,121.73,121.73
2004-02,1090.92,2.43,124.7,124.7
2004-03,1102.42,1.05,126.01,126.01
2004-04,1099.03,-0.31,125.62,126.01
2004-05,1088.57,-0.95,124.43,126.01
2004-06,1100.62,1.11,125.8,126.01
2004-07,1087.79,-1.17,124.34,126.01
2004-08,1085.02,-0.25,124.02,126.01
2004-09,1083.64,-0.13,123.86,126.01
2004-10,1088.43,0.44,124.41,126.01
2004-11,1090.41,0.18,124.64,126.01
2004-12,1102.69,1.13,126.04,126.04
2005-01,1101.82,-0.08,125.94,126.04
